"key","value","date"
"22 Jump Street",0,2014-05-02
"22 Jump Street",0,2014-05-09
"22 Jump Street",0,2014-05-16
"22 Jump Street",0,2014-05-23
"22 Jump Street",0,2014-05-30
"22 Jump Street",0,2014-06-06
"22 Jump Street",82450130,2014-06-13
"22 Jump Street",41986762,2014-06-20
"22 Jump Street",25029401,2014-06-27
"22 Jump Street",15794846,2014-07-04
"22 Jump Street",10547972,2014-07-11
"22 Jump Street",7344988,2014-07-18
"22 Jump Street",4106983,2014-07-25
"22 Jump Street",1863534,2014-08-01
"22 Jump Street",585484,2014-08-08
"22 Jump Street",381144,2014-08-15
"22 Jump Street",176499,2014-08-22
"22 Jump Street",309445,2014-08-29
"22 Jump Street",124422,2014-09-05
"22 Jump Street",93660,2014-09-12
"22 Jump Street",53991,2014-09-19
"Dawn of the Planet of the Apes",0,2014-05-02
"Dawn of the Planet of the Apes",0,2014-05-09
"Dawn of the Planet of the Apes",0,2014-05-16
"Dawn of the Planet of the Apes",0,2014-05-23
"Dawn of the Planet of the Apes",0,2014-05-30
"Dawn of the Planet of the Apes",0,2014-06-06
"Dawn of the Planet of the Apes",0,2014-06-13
"Dawn of the Planet of the Apes",0,2014-06-20
"Dawn of the Planet of the Apes",0,2014-06-27
"Dawn of the Planet of the Apes",0,2014-07-04
"Dawn of the Planet of the Apes",102952844,2014-07-11
"Dawn of the Planet of the Apes",52735785,2014-07-18
"Dawn of the Planet of the Apes",24941044,2014-07-25
"Dawn of the Planet of the Apes",12803951,2014-08-01
"Dawn of the Planet of the Apes",6478736,2014-08-08
"Dawn of the Planet of the Apes",2948610,2014-08-15
"Dawn of the Planet of the Apes",1559021,2014-08-22
"Dawn of the Planet of the Apes",1286543,2014-08-29
"Dawn of the Planet of the Apes",728945,2014-09-05
"Dawn of the Planet of the Apes",561414,2014-09-12
"Dawn of the Planet of the Apes",370944,2014-09-19
"Godzilla (2014)",0,2014-05-02
"Godzilla (2014)",0,2014-05-09
"Godzilla (2014)",117348367,2014-05-16
"Godzilla (2014)",45083190,2014-05-23
"Godzilla (2014)",16661449,2014-05-30
