"key","value","date"
"22 Jump Street",0,2014-05-01
"22 Jump Street",0,2014-05-02
"22 Jump Street",0,2014-05-03
"22 Jump Street",0,2014-05-04
"22 Jump Street",0,2014-05-05
"22 Jump Street",0,2014-05-06
"22 Jump Street",0,2014-05-07
"22 Jump Street",0,2014-05-08
"22 Jump Street",0,2014-05-09
"22 Jump Street",0,2014-05-10
"22 Jump Street",0,2014-05-11
"22 Jump Street",0,2014-05-12
"22 Jump Street",0,2014-05-13
"22 Jump Street",0,2014-05-14
"22 Jump Street",0,2014-05-15
"22 Jump Street",0,2014-05-16
"22 Jump Street",0,2014-05-17
"22 Jump Street",0,2014-05-18
"22 Jump Street",0,2014-05-19
"22 Jump Street",0,2014-05-20
"22 Jump Street",0,2014-05-21
"22 Jump Street",0,2014-05-22
"22 Jump Street",0,2014-05-23
"22 Jump Street",0,2014-05-24
"22 Jump Street",0,2014-05-25
"22 Jump Street",0,2014-05-26
"22 Jump Street",0,2014-05-27
"22 Jump Street",0,2014-05-28
"22 Jump Street",0,2014-05-29
"22 Jump Street",0,2014-05-30
"22 Jump Street",0,2014-05-31
"22 Jump Street",0,2014-06-01
"22 Jump Street",0,2014-06-02
"22 Jump Street",0,2014-06-03
"22 Jump Street",0,2014-06-04
"22 Jump Street",0,2014-06-05
"22 Jump Street",0,2014-06-06
"22 Jump Street",0,2014-06-07
"22 Jump Street",0,2014-06-08
"22 Jump Street",0,2014-06-09
"22 Jump Street",0,2014-06-10
"22 Jump Street",0,2014-06-11
"22 Jump Street",0,2014-06-12
"22 Jump Street",25.14449,2014-06-13
"22 Jump Street",18.726869,2014-06-14
"22 Jump Street",13.200086,2014-06-15
"22 Jump Street",6.830926,2014-06-16
"22 Jump Street",7.348908,2014-06-17
"22 Jump Street",5.774371,2014-06-18
"22 Jump Street",5.42448,2014-06-19
"22 Jump Street",9.325176,2014-06-20
"22 Jump Street",10.812737,2014-06-21
"22 Jump Street",7.323082,2014-06-22
"22 Jump Street",3.63845,2014-06-23
"22 Jump Street",4.465576,2014-06-24
"22 Jump Street",3.492276,2014-06-25
"22 Jump Street",2.929465,2014-06-26
"22 Jump Street",5.135431,2014-06-27
"22 Jump Street",6.172211,2014-06-28
"22 Jump Street",4.534733,2014-06-29
"22 Jump Street",2.439968,2014-06-30
"22 Jump Street",2.284747,2014-07-01
"22 Jump Street",1.970361,2014-07-02
"22 Jump Street",2.49195,2014-07-03
"22 Jump Street",2.537063,2014-07-04
"22 Jump Street",4.149562,2014-07-05
"22 Jump Street",3.116707,2014-07-06
"22 Jump Street",1.54932,2014-07-07
"22 Jump Street",1.746142,2014-07-08
"22 Jump Street",1.372873,2014-07-09
"22 Jump Street",1.323179,2014-07-10
"22 Jump Street",2.05678,2014-07-11
"22 Jump Street",2.622965,2014-07-12
"22 Jump Street",1.821813,2014-07-13
"22 Jump Street",0.996618,2014-07-14
"22 Jump Street",1.26772,2014-07-15
"22 Jump Street",1.009413,2014-07-16
"22 Jump Street",0.772663,2014-07-17
"22 Jump Street",1.420747,2014-07-18
"22 Jump Street",1.953591,2014-07-19
"22 Jump Street",1.329015,2014-07-20
"22 Jump Street",0.647318,2014-07-21
"22 Jump Street",0.786881,2014-07-22
"22 Jump Street",0.667902,2014-07-23
"22 Jump Street",0.539534,2014-07-24
"22 Jump Street",0.793648,2014-07-25
"22 Jump Street",1.034313,2014-07-26
"22 Jump Street",0.77251,2014-07-27
"22 Jump Street",0.407232,2014-07-28
"22 Jump Street",0.438555,2014-07-29
"22 Jump Street",0.360263,2014-07-30
"22 Jump Street",0.300462,2014-07-31
"22 Jump Street",0.345708,2014-08-01
"22 Jump Street",0.484414,2014-08-02
"22 Jump Street",0.35041,2014-08-03
"22 Jump Street",0.205681,2014-08-04
"22 Jump Street",0.207747,2014-08-05
"22 Jump Street",0.154779,2014-08-06
"22 Jump Street",0.114795,2014-08-07
"22 Jump Street",0.109158,2014-08-08
"22 Jump Street",0.144233,2014-08-09
"22 Jump Street",0.099817,2014-08-10
"22 Jump Street",0.061279,2014-08-11
"22 Jump Street",0.078831,2014-08-12
"22 Jump Street",0.050152,2014-08-13
"22 Jump Street",0.042014,2014-08-14
"22 Jump Street",0.074794,2014-08-15
"22 Jump Street",0.100431,2014-08-16
"22 Jump Street",0.061707,2014-08-17
"22 Jump Street",0.033489,2014-08-18
"22 Jump Street",0.041779,2014-08-19
"22 Jump Street",0.03711,2014-08-20
"22 Jump Street",0.031834,2014-08-21
"22 Jump Street",0.057011,2014-08-22
"22 Jump Street",0.082991,2014-08-23
"22 Jump Street",0.036497,2014-08-24
"22 Jump Street",0,2014-08-25
"22 Jump Street",0,2014-08-26
"22 Jump Street",0,2014-08-27
"22 Jump Street",0,2014-08-28
"22 Jump Street",0.060892,2014-08-29
"22 Jump Street",0.084903,2014-08-30
"22 Jump Street",0.128141,2014-08-31
"22 Jump Street",0.035509,2014-09-01
"22 Jump Street",0,2014-09-02
"22 Jump Street",0,2014-09-03
"22 Jump Street",0,2014-09-04
"22 Jump Street",0.039543,2014-09-05
"22 Jump Street",0.062346,2014-09-06
"22 Jump Street",0.022533,2014-09-07
"22 Jump Street",0,2014-09-08
"22 Jump Street",0,2014-09-09
"22 Jump Street",0,2014-09-10
"22 Jump Street",0,2014-09-11
"22 Jump Street",0.034347,2014-09-12
"22 Jump Street",0.03926,2014-09-13
"22 Jump Street",0.020053,2014-09-14
"22 Jump Street",0,2014-09-15
"22 Jump Street",0,2014-09-16
"22 Jump Street",0,2014-09-17
"22 Jump Street",0,2014-09-18
"22 Jump Street",0.017392,2014-09-19
"22 Jump Street",0.024396,2014-09-20
"22 Jump Street",0.012203,2014-09-21
"22 Jump Street",0,2014-09-22
"22 Jump Street",0,2014-09-23
"22 Jump Street",0,2014-09-24
"22 Jump Street",0,2014-09-25
"22 Jump Street",0,2014-09-26
"22 Jump Street",0,2014-09-27
"22 Jump Street",0,2014-09-28
"Dawn of the Planet of the Apes",0,2014-05-01
"Dawn of the Planet of the Apes",0,2014-05-02
"Dawn of the Planet of the Apes",0,2014-05-03
"Dawn of the Planet of the Apes",0,2014-05-04
"Dawn of the Planet of the Apes",0,2014-05-05
"Dawn of the Planet of the Apes",0,2014-05-06
"Dawn of the Planet of the Apes",0,2014-05-07
"Dawn of the Planet of the Apes",0,2014-05-08
"Dawn of the Planet of the Apes",0,2014-05-09
"Dawn of the Planet of the Apes",0,2014-05-10
"Dawn of the Planet of the Apes",0,2014-05-11
"Dawn of the Planet of the Apes",0,2014-05-12
"Dawn of the Planet of the Apes",0,2014-05-13
"Dawn of the Planet of the Apes",0,2014-05-14
"Dawn of the Planet of the Apes",0,2014-05-15
"Dawn of the Planet of the Apes",0,2014-05-16
"Dawn of the Planet of the Apes",0,2014-05-17
"Dawn of the Planet of the Apes",0,2014-05-18
"Dawn of the Planet of the Apes",0,2014-05-19
"Dawn of the Planet of the Apes",0,2014-05-20
"Dawn of the Planet of the Apes",0,2014-05-21
"Dawn of the Planet of the Apes",0,2014-05-22
"Dawn of the Planet of the Apes",0,2014-05-23
"Dawn of the Planet of the Apes",0,2014-05-24
"Dawn of the Planet of the Apes",0,2014-05-25
"Dawn of the Planet of the Apes",0,2014-05-26
"Dawn of the Planet of the Apes",0,2014-05-27
"Dawn of the Planet of the Apes",0,2014-05-28
"Dawn of the Planet of the Apes",0,2014-05-29
"Dawn of the Planet of the Apes",0,2014-05-30
"Dawn of the Planet of the Apes",0,2014-05-31
"Dawn of the Planet of the Apes",0,2014-06-01
"Dawn of the Planet of the Apes",0,2014-06-02
"Dawn of the Planet of the Apes",0,2014-06-03
"Dawn of the Planet of the Apes",0,2014-06-04
"Dawn of the Planet of the Apes",0,2014-06-05
"Dawn of the Planet of the Apes",0,2014-06-06
"Dawn of the Planet of the Apes",0,2014-06-07
"Dawn of the Planet of the Apes",0,2014-06-08
"Dawn of the Planet of the Apes",0,2014-06-09
"Dawn of the Planet of the Apes",0,2014-06-10
"Dawn of the Planet of the Apes",0,2014-06-11
"Dawn of the Planet of the Apes",0,2014-06-12
"Dawn of the Planet of the Apes",0,2014-06-13
"Dawn of the Planet of the Apes",0,2014-06-14
"Dawn of the Planet of the Apes",0,2014-06-15
"Dawn of the Planet of the Apes",0,2014-06-16
"Dawn of the Planet of the Apes",0,2014-06-17
"Dawn of the Planet of the Apes",0,2014-06-18
"Dawn of the Planet of the Apes",0,2014-06-19
"Dawn of the Planet of the Apes",0,2014-06-20
"Dawn of the Planet of the Apes",0,2014-06-21
"Dawn of the Planet of the Apes",0,2014-06-22
"Dawn of the Planet of the Apes",0,2014-06-23
"Dawn of the Planet of the Apes",0,2014-06-24
"Dawn of the Planet of the Apes",0,2014-06-25
"Dawn of the Planet of the Apes",0,2014-06-26
"Dawn of the Planet of the Apes",0,2014-06-27
"Dawn of the Planet of the Apes",0,2014-06-28
"Dawn of the Planet of the Apes",0,2014-06-29
"Dawn of the Planet of the Apes",0,2014-06-30
"Dawn of the Planet of the Apes",0,2014-07-01
"Dawn of the Planet of the Apes",0,2014-07-02
"Dawn of the Planet of the Apes",0,2014-07-03
"Dawn of the Planet of the Apes",0,2014-07-04
"Dawn of the Planet of the Apes",0,2014-07-05
"Dawn of the Planet of the Apes",0,2014-07-06
"Dawn of the Planet of the Apes",0,2014-07-07
"Dawn of the Planet of the Apes",0,2014-07-08
"Dawn of the Planet of the Apes",0,2014-07-09
"Dawn of the Planet of the Apes",0,2014-07-10
"Dawn of the Planet of the Apes",27.645087,2014-07-11
"Dawn of the Planet of the Apes",25.501223,2014-07-12
"Dawn of the Planet of the Apes",19.465117,2014-07-13
"Dawn of the Planet of the Apes",8.216757,2014-07-14
"Dawn of the Planet of the Apes",9.621188,2014-07-15
"Dawn of the Planet of the Apes",6.676696,2014-07-16
"Dawn of the Planet of the Apes",5.826776,2014-07-17
"Dawn of the Planet of the Apes",10.420767,2014-07-18
"Dawn of the Planet of the Apes",14.774045,2014-07-19
